ClientName,bid,cid,pred_date,dailylimit_date_before,ml_pred_spd,adjusted_spd
Brian Gavin Diamonds,1538,925,2018-07-15,3.75,6.2,3.043
Brian Gavin Diamonds,1538,926,2018-07-15,6.09,8.76,7.446
Brian Gavin Diamonds,1538,954,2018-07-15,1.25,1.16,0.9255
GlobeIn,1580,1112,2018-07-15,17.2324,29.6,25.16
GlobeIn,1580,1124,2018-07-15,13.25,11.43,9.54269
Barbell Apparel,1641,1410,2018-07-15,8.0,12.5,6.47
Barbell Apparel,1641,1413,2018-07-15,32.5,34.38,34.38
Mystery Tackle Box,1656,1415,2018-07-15,12.25,13.2,13.2
Mystery Tackle Box,1656,1432,2018-07-15,1.82,2.59,2.59
Mystery Tackle Box,1656,1433,2018-07-15,1.81,1.67,0.09
Teri Jon,1630,1477,2018-07-15,2.98118,2.25,3.30559
Teri Jon,1630,1478,2018-07-15,5.9,4.52,5.57559
The Grand Voyage,1674,1520,2018-07-15,20.9677,14.21,21.3145
Ava Women,1729,1670,2018-07-15,155.5,112.65,125.315
Ava Women,1729,1672,2018-07-15,7.70114,6.05,18.7152
Ava Women,1729,1673,2018-07-15,34.0,28.23,40.8952
Gaia,1751,1941,2018-07-15,135.5,158.06,158.06
Gaia,1751,1942,2018-07-15,26.0,31.46,9.47621
weboost,1757,1954,2018-07-15,25.9175,36.21,30.7785
weboost,1757,1955,2018-07-15,9.95461,6.23,3.53416
Brian Gavin Diamonds,1538,1967,2018-07-15,1.25,3.17,0.9255
weboost,1757,1989,2018-07-15,6.25,7.09,3.53416
weboost,1757,1990,2018-07-15,5.0,11.39,9.27529
Barbell Apparel,1641,2070,2018-07-15,26.5,26.15,26.15
Mission Workshop,1793,2107,2018-07-15,4.0,8.97,4.21
Mission Workshop,1793,2108,2018-07-15,20.75,13.32,13.32
Vuori,1801,2216,2018-07-15,38.7153,34.71,35.4376
Black by Brian Gavin,1752,2258,2018-07-15,15.5,2.12,15.5
Chubbies,1774,2279,2018-07-15,24.0,22.69,25.97
Chubbies,1774,2280,2018-07-15,5.25,5.3,8.58
Chipolo,1821,2318,2018-07-15,12.75,12.59,13.6667
Chipolo,1821,2321,2018-07-15,7.0,7.1,8.17667
Chipolo,1821,2322,2018-07-15,6.25,3.08,4.15667
