ClientName,bid,cid,pred_date,dailylimit_date_before,ml_pred_spd,adjusted_spd,factor,dailylimit_fac,ml_spd_fac,adjusted_spd_fac
Ace Adventure Resort,1827,4481,2018-08-26,0.25,3.83,0.974922,0.75,1.0,15.32,3.899688
Ace Adventure Resort,1827,4483,2018-08-26,2.0,1.26,0.974922,0.75,8.0,5.04,3.899688
Ace Adventure Resort,1827,4476,2018-08-26,6.25,5.1,4.0412,0.75,25.0,20.4,16.1648
Ace Adventure Resort,1827,4477,2018-08-26,3.5,1.75,0.974922,0.75,14.0,7.0,3.899688
Ace Adventure Resort,1827,4478,2018-08-26,2.75,4.96,3.92562,0.75,11.0,19.84,15.70248
Ace Adventure Resort,1827,4479,2018-08-26,0.75,6.37,5.08974,0.75,3.0,25.48,20.35896
Ace Adventure Resort,1827,4480,2018-08-26,0.25,1.21,2.5,0.75,1.0,4.84,10.0
Ace Adventure Resort,1827,4484,2018-08-26,5.0,4.88,3.63665,0.75,20.0,19.52,14.5466
Ace Adventure Resort,1827,4482,2018-08-26,5.5,5.21,4.13202,0.75,22.0,20.84,16.52808
Ace Adventure Resort,1827,4482,2018-08-25,5.5,5.48,5.11625,0.75,22.0,21.92,20.465
Ace Adventure Resort,1827,4483,2018-08-25,1.25,1.24,4.0,0.75,5.0,4.96,16.0
Ace Adventure Resort,1827,4476,2018-08-25,5.0,5.05,4.68625,0.75,20.0,20.2,18.745
Ace Adventure Resort,1827,4477,2018-08-25,2.0,1.69,1.32625,0.75,8.0,6.76,5.305
Ace Adventure Resort,1827,4478,2018-08-25,5.0,4.96,4.59625,0.75,20.0,19.84,18.385
Ace Adventure Resort,1827,4479,2018-08-25,6.3,6.46,6.09625,0.75,25.2,25.84,24.385
Ace Adventure Resort,1827,4480,2018-08-25,1.25,1.28,0.91625,0.75,5.0,5.12,3.665
Ace Adventure Resort,1827,4481,2018-08-25,4.25,4.07,3.70625,0.75,17.0,16.28,14.825
Ace Adventure Resort,1827,4484,2018-08-25,5.0,5.47,5.10625,0.75,20.0,21.88,20.425
Ace Adventure Resort,1827,4482,2018-08-24,5.5,5.56,5.25,0.75,22.0,22.24,21.0
Ace Adventure Resort,1827,4483,2018-08-24,1.25,1.22,4.0,0.75,5.0,4.88,16.0
Ace Adventure Resort,1827,4476,2018-08-24,5.0,5.1,4.79,0.75,20.0,20.4,19.16
Ace Adventure Resort,1827,4477,2018-08-24,2.0,1.73,1.42,0.75,8.0,6.92,5.68
Ace Adventure Resort,1827,4478,2018-08-24,5.0,4.76,4.45,0.75,20.0,19.04,17.8
Ace Adventure Resort,1827,4479,2018-08-24,6.3,6.25,5.94,0.75,25.2,25.0,23.76
Ace Adventure Resort,1827,4480,2018-08-24,1.25,1.23,0.92,0.75,5.0,4.92,3.68
Ace Adventure Resort,1827,4481,2018-08-24,4.25,3.88,3.57,0.75,17.0,15.52,14.28
Ace Adventure Resort,1827,4484,2018-08-24,5.0,5.52,5.21,0.75,20.0,22.08,20.84
Ace Adventure Resort,1827,4481,2018-08-23,4.25,4.07,3.69875,0.75,17.0,16.28,14.795
Ace Adventure Resort,1827,4478,2018-08-23,5.0,4.92,4.54875,0.75,20.0,19.68,18.195
Ace Adventure Resort,1827,4482,2018-08-23,5.5,5.58,5.20875,0.75,22.0,22.32,20.835
Ace Adventure Resort,1827,4483,2018-08-23,1.25,1.29,0.91875,0.75,5.0,5.16,3.675
Ace Adventure Resort,1827,4476,2018-08-23,5.0,5.1,4.72875,0.75,20.0,20.4,18.915
Ace Adventure Resort,1827,4477,2018-08-23,2.0,1.79,1.41875,0.75,8.0,7.16,5.675
Ace Adventure Resort,1827,4479,2018-08-23,6.3,6.29,5.91875,0.75,25.2,25.16,23.675
Ace Adventure Resort,1827,4480,2018-08-23,1.25,1.26,4.0,0.75,5.0,5.04,16.0
Ace Adventure Resort,1827,4484,2018-08-23,5.0,5.48,5.10875,0.75,20.0,21.92,20.435
Ace Adventure Resort,1827,4481,2018-08-22,4.25,4.32,4.07875,0.75,17.0,17.28,16.315
Ace Adventure Resort,1827,4482,2018-08-22,5.5,4.74,4.49875,0.75,22.0,18.96,17.995
Ace Adventure Resort,1827,4483,2018-08-22,1.25,1.26,1.01875,0.75,5.0,5.04,4.075
Ace Adventure Resort,1827,4476,2018-08-22,5.0,5.07,4.82875,0.75,20.0,20.28,19.315
Ace Adventure Resort,1827,4477,2018-08-22,2.0,1.13,4.0,0.75,8.0,4.52,16.0
Ace Adventure Resort,1827,4478,2018-08-22,5.0,5.03,4.78875,0.75,20.0,20.12,19.155
Ace Adventure Resort,1827,4479,2018-08-22,6.3,6.33,6.08875,0.75,25.2,25.32,24.355
Ace Adventure Resort,1827,4480,2018-08-22,1.25,1.26,1.01875,0.75,5.0,5.04,4.075
Ace Adventure Resort,1827,4484,2018-08-22,5.0,5.47,5.22875,0.75,20.0,21.88,20.915
Ace Adventure Resort,1827,4481,2018-08-21,4.25,3.99,3.755,0.75,17.0,15.96,15.02
Ace Adventure Resort,1827,4482,2018-08-21,5.5,4.77,4.535,0.75,22.0,19.08,18.14
Ace Adventure Resort,1827,4483,2018-08-21,1.25,1.28,1.045,0.75,5.0,5.12,4.18
Ace Adventure Resort,1827,4476,2018-08-21,5.0,4.94,4.705,0.75,20.0,19.76,18.82
Ace Adventure Resort,1827,4477,2018-08-21,2.0,1.35,1.115,0.75,8.0,5.4,4.46
Ace Adventure Resort,1827,4478,2018-08-21,5.0,5.04,4.805,0.75,20.0,20.16,19.22
Ace Adventure Resort,1827,4479,2018-08-21,6.3,6.38,6.145,0.75,25.2,25.52,24.58
Ace Adventure Resort,1827,4480,2018-08-21,1.25,1.24,4.0,0.75,5.0,4.96,16.0
Ace Adventure Resort,1827,4484,2018-08-21,5.0,5.68,5.445,0.75,20.0,22.72,21.78
Ace Adventure Resort,1827,4481,2018-08-20,4.25,4.95,4.43769,0.75,17.0,19.8,17.75076
Ace Adventure Resort,1827,4482,2018-08-20,5.5,5.47,4.94504,0.75,22.0,21.88,19.78016
Ace Adventure Resort,1827,4483,2018-08-20,1.25,1.27,0.564231,0.75,5.0,5.08,2.256924
Ace Adventure Resort,1827,4476,2018-08-20,5.0,5.16,4.64258,0.75,20.0,20.64,18.57032
Ace Adventure Resort,1827,4477,2018-08-20,2.0,1.33,0.90572,0.75,8.0,5.32,3.62288
Ace Adventure Resort,1827,4478,2018-08-20,5.0,5.0,4.48647,0.75,20.0,20.0,17.94588
Ace Adventure Resort,1827,4479,2018-08-20,6.3,6.34,5.79389,0.75,25.2,25.36,23.17556
Ace Adventure Resort,1827,4480,2018-08-20,1.25,1.22,4.0,0.75,5.0,4.88,16.0
Ace Adventure Resort,1827,4484,2018-08-20,5.0,6.32,5.77437,0.75,20.0,25.28,23.09748
Ace Adventure Resort,1827,4481,2018-08-19,4.25,5.66,4.9526,0.75,17.0,22.64,19.8104
Ace Adventure Resort,1827,4478,2018-08-19,5.0,4.98,4.31362,0.75,20.0,19.92,17.25448
Ace Adventure Resort,1827,4482,2018-08-19,5.5,5.29,4.60492,0.75,22.0,21.16,18.41968
Ace Adventure Resort,1827,4483,2018-08-19,1.25,1.27,0.706281,0.75,5.0,5.08,2.825124
Ace Adventure Resort,1827,4476,2018-08-19,5.0,5.11,4.43578,0.75,20.0,20.44,17.74312
Ace Adventure Resort,1827,4477,2018-08-19,2.0,1.44,0.648882,0.75,8.0,5.76,2.595528
Ace Adventure Resort,1827,4479,2018-08-19,6.3,6.4,5.64796,0.75,25.2,25.6,22.59184
Ace Adventure Resort,1827,4480,2018-08-19,1.25,1.25,4.0,0.75,5.0,5.0,16.0
Ace Adventure Resort,1827,4484,2018-08-19,5.0,7.03,6.23996,0.75,20.0,28.12,24.95984
Ace Adventure Resort,1827,4481,2018-08-18,4.25,5.28,4.42689,0.75,17.0,21.12,17.70756
Ace Adventure Resort,1827,4478,2018-08-18,5.0,4.66,3.42007,0.75,20.0,18.64,13.68028
Ace Adventure Resort,1827,4482,2018-08-18,5.5,6.93,5.92352,0.75,22.0,27.72,23.69408
Ace Adventure Resort,1827,4483,2018-08-18,1.25,1.24,0.739187,0.75,5.0,4.96,2.956748
Ace Adventure Resort,1827,4476,2018-08-18,5.0,4.93,4.10943,0.75,20.0,19.72,16.43772
Ace Adventure Resort,1827,4477,2018-08-18,2.0,1.37,0.739187,0.75,8.0,5.48,2.956748
Ace Adventure Resort,1827,4479,2018-08-18,6.3,6.64,5.66048,0.75,25.2,26.56,22.64192
Ace Adventure Resort,1827,4480,2018-08-18,1.25,1.22,4.0,0.75,5.0,4.88,16.0
Ace Adventure Resort,1827,4484,2018-08-18,5.0,7.6,6.53124,0.75,20.0,30.4,26.12496
Ace Adventure Resort,1827,4482,2018-08-17,5.5,5.65,5.32625,0.75,22.0,22.6,21.305
Ace Adventure Resort,1827,4483,2018-08-17,1.25,1.22,4.0,0.75,5.0,4.88,16.0
Ace Adventure Resort,1827,4476,2018-08-17,5.0,5.09,4.76625,0.75,20.0,20.36,19.065
Ace Adventure Resort,1827,4477,2018-08-17,2.0,1.47,1.14625,0.75,8.0,5.88,4.585
Ace Adventure Resort,1827,4478,2018-08-17,5.0,4.7,4.37625,0.75,20.0,18.8,17.505
Ace Adventure Resort,1827,4479,2018-08-17,6.3,6.47,6.14625,0.75,25.2,25.88,24.585
Ace Adventure Resort,1827,4480,2018-08-17,1.25,1.24,0.91625,0.75,5.0,4.96,3.665
Ace Adventure Resort,1827,4484,2018-08-17,5.0,5.43,5.10625,0.75,20.0,21.72,20.425
Ace Adventure Resort,1827,4481,2018-08-17,4.25,4.09,3.76625,0.75,17.0,16.36,15.065
