cid,bid,value
4799,2180,0.75
4798,2180,0.75
4797,2192,0.75
4796,2193,0.75
4795,2193,0.75
4794,2084,0.75
4681,2085,0.75
4675,2085,0.75
4699,2085,0.75
4680,2085,0.75
4393,2085,0.75
4671,2085,0.75
4672,2085,0.75
4631,2085,0.75
4674,2085,0.75
4632,2085,0.75
4590,2085,0.75
4495,2085,0.75
4265,2085,0.75
4266,2085,0.75
4299,2085,0.75
4108,2085,0.75
4110,2085,0.75
4111,2085,0.75
4391,2085,0.75
4563,1913,0.75
4404,1941,0.75
4619,1913,0.75
4609,2046,0.75
4418,1897,0.75
4440,1810,0.75
4580,2111,0.65
4464,1810,0.75
4083,2111,0.65
4276,1978,0.75
4085,2111,0.65
4277,1978,0.75
4086,2111,0.65
4087,2111,0.65
4088,2111,0.65
4046,2068,0.75
4313,1781,0.65
3992,2088,0.75
4024,1810,0.75
3993,2088,0.75
3910,2068,0.75
3911,2068,0.75
3986,1897,0.75
3912,1674,0.75
4008,1941,0.75
3780,2046,0.75
3781,2046,0.75
3782,2046,0.75
3869,1729,0.75
3815,2065,0.75
3817,2065,0.75
3819,2065,0.75
3821,2065,0.75
3716,2043,0.75
3760,2040,0.75
3718,2043,0.75
3761,2040,0.75
3472,1978,0.75
3719,2043,0.75
3720,2043,0.75
3765,2040,0.75
3715,2043,0.75
2840,1897,0.75
3470,1978,0.75
3471,1978,0.75
3388,1941,0.75
2938,1913,0.75
2939,1913,0.75
2940,1913,0.75
2942,1913,0.75
2808,1793,0.75
2809,1781,0.65
2237,1810,0.75
2832,1781,0.65
2789,1781,0.65
2836,1897,0.75
2838,1897,0.75
2839,1897,0.75
2107,1793,0.75
2235,1810,0.75
2108,1793,0.75
1520,1674,0.75
1670,1729,0.75
1672,1729,0.75
4662,2170,0.75
4663,2170,0.75
4750,2170,0.75
4665,2170,0.75
4793,2149,0.75
4792,2149,0.75
4293,2124,0.75
4592,1810,0.75
4295,2124,0.75
4286,2124,0.75
4288,2124,0.75
4791,2187,0.75
4790,2187,0.75
4789,1874,0.75
4788,2180,0.75
4787,1898,0.75
4786,2187,0.75
4785,2187,0.75
4784,2187,0.75
4783,2187,0.75
4782,2150,0.75
4781,2150,0.75
4780,2099,0.75
4779,2099,0.75
4778,2099,0.75
4777,2180,0.75
4776,2009,0.7
4775,2009,0.7
4774,2098,0.75
4773,2098,0.75
4772,2098,0.75
4771,2098,0.75
4713,1751,0.75
4714,1751,0.75
4711,1751,0.75
4712,1751,0.75
1941,1751,0.75
1942,1751,0.75
2390,1751,0.75
4656,1751,0.75
4710,1751,0.75
4668,1751,0.75
4669,1751,0.75
4770,2194,0.75
4769,2194,0.75
4768,2194,0.75
