bid,objective
2066,6.0
1991,2.0
1659,2.0
1697,6.0
1912,2.0
1873,6.0
1755,2.0
1754,6.0
1635,2.0
1819,6.0
2106,6.0
2075,6.0
1596,2.0
1855,2.0
180,1.0
1905,6.0
2054,2.0
1772,2.0
1660,2.0
2030,2.0
1984,6.0
1865,2.0
1707,6.0
1490,1.0
1235,2.0
1968,6.0
1793,6.0
1752,2.0
1760,6.0
1562,1.0
1430,1.0
1259,1.0
1702,2.0
1623,4.0
1347,2.0
1796,3.0
1769,2.0
1770,2.0
1767,1.0
1640,3.0
1628,6.0
1621,6.0
1185,2.0
2128,6.0
2067,6.0
1787,2.0
1608,2.0
1517,3.0
1371,1.0
2077,6.0
1892,2.0
2116,2.0
1764,3.0
1658,2.0
1870,2.0
1888,4.0
1639,2.0
1370,1.0
1898,6.0
2051,4.0
2028,6.0
1841,6.0
1501,1.0
1607,2.0
872,1.0
1624,1.0
1612,4.0
1604,2.0
1506,1.0
2123,6.0
2090,6.0
1649,6.0
1750,6.0
1721,6.0
1257,1.0
1690,2.0
2025,6.0
2041,2.0
1685,1.0
1844,2.0
1820,2.0
1763,2.0
1587,2.0
1580,6.0
254,2.0
1630,2.0
1798,2.0
1982,2.0
1809,6.0
1730,6.0
1556,2.0
1632,1.0
1858,6.0
1810,2.0
1872,2.0
1515,1.0
1884,6.0
1498,1.0
2087,6.0
1913,6.0
1790,3.0
1734,6.0
1785,6.0
1678,6.0
2134,2.0
1802,2.0
1781,6.0
1853,2.0
1918,2.0
2039,6.0
2132,6.0
1638,2.0
1600,2.0
1666,2.0
1814,6.0
1540,1.0
1890,6.0
2044,2.0
1700,2.0
1804,1.0
1994,6.0
1992,6.0
1989,2.0
1826,6.0
1746,6.0
1765,2.0
1733,2.0
1516,2.0
2108,6.0
1495,1.0
2093,6.0
1952,6.0
1645,6.0
1616,3.0
1915,2.0
1867,6.0
1538,2.0
1591,2.0
1939,2.0
2022,2.0
871,2.0
915,1.0
1492,1.0
1896,2.0
2043,6.0
1561,2.0
1588,1.0
1617,2.0
1868,6.0
1965,2.0
1571,2.0
1727,2.0
1959,2.0
1662,2.0
1573,1.0
2125,1.0
1663,1.0
1777,2.0
1975,2.0
1670,2.0
2040,6.0
1726,6.0
2099,1.0
1072,1.0
1560,2.0
1983,2.0
1879,2.0
1757,2.0
1605,2.0
670,2.0
2036,6.0
2062,2.0
1557,6.0
1572,2.0
1575,2.0
1945,2.0
1847,2.0
1795,6.0
1350,1.0
1611,2.0
2121,2.0
1974,6.0
1958,6.0
1696,2.0
1917,2.0
1977,6.0
948,2.0
1653,2.0
2122,6.0
1885,6.0
1791,2.0
1567,2.0
1546,1.0
1949,6.0
2032,6.0
1914,2.0
1899,6.0
1369,1.0
1251,2.0
1615,6.0
1593,1.0
1878,2.0
1712,2.0
1722,1.0
1691,2.0
1634,2.0
1360,2.0
1729,6.0
1704,6.0
1887,2.0
1761,2.0
1823,1.0
1930,6.0
1555,2.0
1665,2.0
1317,2.0
1595,1.0
1581,2.0
1673,2.0
1720,2.0
2035,6.0
2034,6.0
1773,6.0
1742,2.0
21,1.0
1960,2.0
2024,2.0
1923,6.0
1780,2.0
1708,3.0
1935,6.0
2126,6.0
1748,6.0
1741,6.0
1519,3.0
131,1.0
1956,2.0
1880,6.0
1520,2.0
1537,1.0
2023,2.0
2071,6.0
1815,6.0
1590,1.0
1863,2.0
2119,2.0
1681,2.0
1782,6.0
2129,6.0
1942,2.0
1926,6.0
1544,4.0
1811,6.0
1743,6.0
1924,1.0
2096,6.0
2092,2.0
1943,2.0
1774,2.0
1771,6.0
2112,2.0
1850,6.0
1927,6.0
1701,2.0
1626,2.0
916,1.0
1598,2.0
1731,6.0
1821,6.0
2098,6.0
2060,6.0
1610,2.0
1788,2.0
1919,6.0
1545,2.0
1950,6.0
1891,6.0
1677,6.0
1684,2.0
1845,2.0
1813,6.0
1990,2.0
1786,6.0
1585,1.0
1361,2.0
1866,2.0
1864,6.0
1955,6.0
1993,2.0
2137,2.0
2038,6.0
1625,2.0
1749,2.0
1932,6.0
1978,6.0
1834,2.0
2007,6.0
1848,6.0
1010,2.0
1601,3.0
1627,2.0
2085,2.0
1775,2.0
1578,2.0
1650,2.0
1674,6.0
2076,2.0
1998,6.0
1833,2.0
1725,6.0
2064,2.0
1909,2.0
1922,6.0
1629,2.0
2029,1.0
1947,6.0
2046,2.0
1827,2.0
1667,6.0
1654,6.0
1618,2.0
1301,1.0
2124,2.0
1981,2.0
1906,2.0
2115,2.0
1995,1.0
2002,6.0
2107,2.0
2050,6.0
1738,6.0
1312,2.0
1686,2.0
1854,2.0
2074,2.0
2117,2.0
2072,6.0
1838,2.0
1745,2.0
1694,2.0
1860,6.0
1739,2.0
1944,6.0
2084,2.0
1715,2.0
1327,2.0
1652,3.0
2100,3.0
1806,6.0
1911,6.0
2086,2.0
1976,2.0
1900,6.0
1728,2.0
1620,1.0
1916,6.0
1946,6.0
2065,2.0
2027,2.0
1514,2.0
1656,2.0
1803,2.0
1744,2.0
2133,2.0
1846,6.0
2009,6.0
1921,2.0
1762,6.0
2031,6.0
2088,6.0
895,2.0
2089,2.0
1693,2.0
1671,2.0
1778,6.0
1586,2.0
1882,2.0
1584,1.0
1641,2.0
1724,
1799,2.0
2068,6.0
1934,2.0
2141,2.0
1801,2.0
1602,2.0
648,2.0
1759,6.0
1874,6.0
1606,2.0
1897,6.0
1644,2.0
2061,2.0
1933,2.0
1753,3.0
1732,2.0
2111,6.0
1664,6.0
1291,1.0
1973,2.0
1648,1.0
1842,2.0
1857,6.0
2052,2.0
1689,2.0
2045,1.0
1751,6.0
1940,2.0
1609,2.0
1534,1.0
1840,6.0
714,3.0
1518,2.0
967,1.0
1835,6.0
1941,6.0
